Sample,sSi,sTi,sAl,sCr,sFe3,sMn,sMg,sCa,sNa,sK,sTotal
Bai LL Clast 1,0.028315185951882833,0.0,0.01966640319073617,0.0,0.0,0.0,0.0036722539780531405,0.054321388485938336,0.014306472747168172,0.012555156824687745,0.02941986033973094
Bai LL Clast 3,0.029231623580321543,0.0,0.017846778830475196,0.0,0.0,0.0,0.007617948004953467,0.056395452799152326,0.024671960270955272,0.016283407653153312,0.03384603906910666
Bai Pumlime 2,0.02675780629551714,0.0,0.018232149920843117,0.0,0.0,0.0,0.0033964917582079007,0.05104883482375705,0.01323172121485558,0.011612108699205361,0.027679504793149557
Bai Pumlime 4,0.026195101161132453,0.0,0.015470966356972137,0.0,0.0,0.0,0.0,0.05015995195288886,0.017155732430178105,0.014123570297255847,0.028883158470951964
Bai Pumlime 7,0.04818727058260069,0.0,0.05285569531651926,0.0,0.03083100808959716,0.0,0.05719827695159877,0.07733548134854175,0.039548710832634566,0.01960526835723099,0.04829476006749893
Bai Pumlime 8,0.02942560791497768,0.0,0.017382829866566755,0.0,0.0,0.0,0.007431168442786479,0.055817578201123715,0.038303091006722766,0.009553987413420525,0.038043176907758165
Bai Area Y' 12S,0.028741880354630683,0.0,0.017772178083748695,0.0,0.0,0.0,0.003827150397675147,0.05490004614298704,0.029630497621151507,0.013087091209574304,0.03446626403664288
ANZ1 Tuff Clast 1,0.028253339659883105,0.0,0.01934498451190892,0.0,0.0,0.0,0.0035850070488691608,0.05300842016260816,0.018599462826690224,0.015313779464856767,0.03074830344680075
ANZ1 Tuff Clast 1,0.02997171997215769,0.0,0.019550042026692024,0.0,0.019884095612431745,0.0,0.007168457108846045,0.052295882472595485,0.018618059651156316,0.015325474830045377,0.03059608523420158
ANZ1 Tuff Clast 1,0.029538359153120263,0.0,0.019490154644044844,0.0,0.019810365290194563,0.0,0.007142600443365384,0.050365474382152796,0.027723058647722697,0.018313412407328065,0.03369098574550109
ANZ1 Tuff Clast 1,0.028319964900789377,0.0,0.01912306121174638,0.0,0.019474139039024615,0.0,0.007023445325880956,0.04767798190922482,0.018243275245529322,0.018007985921629395,0.02951174704755145
ANZ1 Tuff Clast 1,0.028584547242346006,0.0,0.01902132913493518,0.0,0.01773968573291993,0.0,0.0035216896853867224,0.05075190316993875,0.018270948864057935,0.015044085091546382,0.029593304776564727
ANZ-2 pumice 4,0.028235473460970516,0.0,0.016887326635426303,0.0,0.0,0.0,0.0,0.05357784363518351,0.023564313580891456,0.00934156583860975,0.03151750484666032
ANZ-2 pumice 4,0.03374248211351222,0.025713995338384064,0.01707872874667826,0.0,0.0,0.0,0.0,0.05700285115273529,0.02837763016883331,0.012493000408460176,0.035372770254383644
ANZ-2 pumice 4,0.028535556802370937,0.0,0.016686513690512016,0.0,0.0,0.0,0.0,0.054515280268849456,0.02325965108268288,0.012284615875521295,0.032155478514834857
